Series,Series_index,Subject,A*,A or above,B or above,C or above,D or above,E or above,AS A-E grades,ungraded
2015 June,0,Accounting,8.4,24.3,43.0,61.1,75.7,86.2,3.2,10.6
2015 June,1,Applied ICT,2.3,12.7,31.7,52.4,71.4,82.8,3.5,13.7
2015 June,2,Art and Design,4.1,13.5,34.1,56.5,71.0,82.2,1.5,16.3
2015 June,3,Biology,14.2,32.0,50.0,67.5,79.9,88.9,2.3,8.8
2015 June,4,Business Studies,4.6,12.3,24.7,44.8,63.8,78.8,4.4,16.8
2015 June,5,Chemistry,14.1,31.7,50.5,66.7,79.3,89.6,2.9,7.5
2015 June,6,Computer Science / Computing,14.1,25.6,43.1,61.5,76.9,86.9,2.7,10.3
2015 June,7,Economics,8.9,24.6,45.2,62.1,76.4,87.1,2.4,10.5
2015 June,8,English Language,0.8,5.3,18.2,36.7,59.7,80.2,4.4,15.4
2015 June,9,French,4.9,22.8,54.1,67.1,78.5,89.0,8.2,2.8
2015 June,10,Further Mathematics,13.9,34.2,55.6,71.0,81.3,89.9,0.0,10.1
2015 June,11,Geography,9.1,20.0,34.9,50.7,64.7,77.2,7.3,15.5
2015 June,12,History,3.8,14.8,33.0,51.6,67.8,80.9,3.1,16.0
2015 June,13,Law,2.5,9.0,21.1,36.6,53.4,68.0,5.8,26.2
2015 June,14,Literature in English,7.8,20.9,38.1,55.7,71.7,85.5,2.7,11.8
2015 June,15,Marine Science,1.0,3.2,9.3,23.9,43.9,63.7,4.0,32.3
2015 June,16,Mathematics,10.0,33.3,53.5,70.6,82.4,90.3,3.0,6.7
2015 June,17,Media Studies,0.0,4.5,25.6,54.1,76.7,88.7,8.3,3.0
2015 June,18,Physics,14.2,32.8,53.0,67.9,80.5,90.2,2.0,7.8
2015 June,19,Portuguese,1.0,31.7,62.5,83.7,98.1,99.0,1.0,0.0
2015 June,20,Psychology,4.6,18.0,36.3,54.3,70.5,81.9,4.5,13.6
2015 June,21,Sociology,3.5,11.1,25.4,42.2,56.9,69.9,5.5,24.6
2015 June,22,Spanish,17.0,56.0,75.7,89.4,95.1,97.3,2.0,0.7
2015 June,23,Thinking Skills,1.4,5.6,13.7,31.5,53.2,75.1,11.1,13.8
2015 June,24,Travel and Tourism,0.7,4.7,24.0,47.3,77.3,95.3,0.0,4.7
2017 June,0,Accounting,9.1,24.3,42.0,59.8,73.8,85.3,4.5,10.2
2017 June,1,Applied ICT / Information Technology,1.9,11.6,30.3,53.5,73.1,84.1,4.5,11.4
2017 June,2,Art and Design,2.7,10.9,27.5,48.6,67.9,85.2,2.9,11.9
2017 June,3,Biology,17.9,34.3,50.8,67.9,81.1,89.6,2.1,8.3
2017 June,4,Business,4.2,12.4,25.7,45.1,64.0,78.6,4.0,17.4
2017 June,5,Chemistry,13.6,30.7,50.0,66.0,79.4,89.4,3.8,6.8
2017 June,6,Computer Science,11.9,24.4,39.7,56.8,72.2,85.0,1.9,13.1
2017 June,7,Economics,9.2,26.1,45.9,63.0,77.0,87.2,2.0,10.8
2017 June,8,English Language,0.5,3.7,13.7,33.2,59.4,81.4,4.1,14.5
2017 June,9,French,3.1,20.4,50.9,70.4,85.5,94.8,3.0,2.2
2017 June,10,Further Mathematics,8.1,35.7,56.9,73.7,83.6,89.5,0.0,10.5
2017 June,11,Geography,13.4,27.4,42.3,58.0,71.3,82.3,4.1,13.6
2017 June,12,Global Perspectives & Research,6.0,17.7,37.6,66.3,87.9,96.6,0.4,3.0
2017 June,13,History,2.9,12.1,30.0,50.7,71.1,86.3,2.2,11.5
2017 June,14,Law,2.9,10.3,23.1,37.1,54.3,68.5,4.0,27.5
2017 June,15,Literature in English,6.5,18.5,35.7,52.7,70.1,84.6,4.0,11.4
2017 June,16,Marine Science,1.1,4.1,11.7,27.1,48.2,69.5,3.1,27.4
2017 June,17,Mathematics,10.5,32.7,53.3,70.8,82.8,90.4,3.0,6.6
2017 June,18,Media Studies,0.0,6.8,34.9,64.3,86.4,93.2,0.8,6.0
2017 June,19,Music,5.9,30.7,72.3,91.1,97.0,98.0,1.0,1.0
2017 June,20,Physics,14.1,30.7,50.6,66.9,80.5,90.6,1.9,7.5
2017 June,21,Portuguese,1.8,45.5,75.5,90.9,96.4,99.1,0.9,0.0
2017 June,22,Psychology,5.7,19.5,38.4,58.6,74.6,86.1,2.0,11.9
2017 June,23,Sociology,4.6,12.2,25.7,42.0,57.9,69.3,8.5,22.2
2017 June,24,Spanish,14.0,48.9,75.3,89.1,95.6,98.2,1.1,0.7
2017 June,25,Thinking Skills,0.9,3.4,9.6,22.9,42.3,61.6,14.5,23.9
2017 June,26,Travel and Tourism,0.0,0.9,6.8,23.5,47.5,71.9,5.3,22.8
2015 November,0,Accounting,6.4,12.0,20.5,36.6,54.9,75.8,2.1,22.1
2015 November,1,Applied ICT,0.9,5.7,17.6,34.8,56.5,75.0,6.7,18.3
2015 November,2,Arabic,24.6,42.4,61.0,72.0,89.8,96.6,3.4,0.0
2015 November,3,Art and Design,4.4,15.9,29.5,49.3,68.7,84.1,2.0,13.9
2015 November,4,Biology,11.1,23.8,36.7,53.6,68.8,81.8,4.5,13.7
2015 November,5,Business Studies,2.2,6.1,13.0,26.8,47.3,66.4,8.3,25.3
2015 November,6,Chemistry,11.4,22.3,35.1,51.0,66.2,80.3,7.1,12.6
2015 November,7,Chinese,40.7,78.8,90.6,94.8,96.3,97.1,2.8,0.1
2015 November,8,Computer Science / Computing,2.3,6.2,13.4,25.5,41.9,62.9,9.3,27.8
2015 November,9,Design and Technology,2.1,9.7,24.1,52.6,78.5,92.6,2.9,4.5
2015 November,10,Divinity,5.7,19.5,48.3,72.4,88.9,95.4,0.0,4.6
2015 November,11,Economics,4.5,12.6,24.9,39.5,56.3,74.2,7.1,18.7
2015 November,12,English Language,1.5,5.1,15.4,32.8,52.6,69.7,5.5,24.8
2015 November,13,Food Studies,3.0,11.7,25.5,45.5,70.6,93.5,0.0,6.5
2015 November,14,French,2.5,8.8,26.4,44.0,69.8,81.8,9.4,8.8
2015 November,15,Further Mathematics,16.9,40.2,58.4,69.7,76.9,85.2,0.0,14.8
2015 November,16,Geography,2.5,7.8,18.3,36.8,58.1,75.5,7.5,17.0
2015 November,17,Hindi,2.4,7.9,26.4,54.4,78.5,91.3,6.9,1.8
2015 November,18,Hinduism,1.3,5.2,14.7,43.8,68.5,85.8,0.0,14.2
2015 November,19,History,2.7,11.1,26.5,46.4,69.7,84.2,2.5,13.3
2015 November,20,Islamic Studies,2.0,8.3,19.4,42.2,63.9,82.3,0.0,17.7
