Series,Series_index,Subject,a,b or above,c or above,d or above,e or above,ungraded
2015 November,0,Accounting,20.4,34.1,49.7,62.2,73.4,26.6
2015 November,1,Afrikaans Language,42.4,58.2,74.1,86.6,94.6,5.4
2015 November,2,Applied ICT,12.1,22.2,36.0,51.1,71.6,28.4
2015 November,3,Arabic Language,75.9,89.7,97.9,98.6,100.0,0.0
2015 November,4,Art and Design,8.9,21.6,39.0,57.5,78.2,21.8
2015 November,5,Biology,24.3,43.8,60.7,73.3,83.6,16.4
2015 November,6,Business Studies,9.1,20.4,36.4,51.3,64.4,35.6
2015 November,7,Chemistry,24.0,47.6,62.7,76.0,87.0,13.0
2015 November,8,Chinese Language,85.1,88.0,91.1,95.0,97.6,2.4
2015 November,9,Classical Studies,12.1,29.3,54.6,75.1,88.7,11.3
2015 November,10,Computer Science / Computing,13.8,25.1,40.2,56.4,72.7,27.3
2015 November,11,Design and Technology,8.7,22.0,51.5,75.4,91.3,8.7
2015 November,12,Divinity,6.6,13.2,24.4,35.5,51.3,48.7
2015 November,13,Economics,20.0,33.6,49.6,64.5,79.3,20.7
2015 November,14,English Language,6.9,21.0,34.3,53.9,69.8,30.2
2015 November,15,Environmental Management,18.2,51.6,74.5,87.0,96.9,3.1
2015 November,16,First Language Spanish,9.3,38.2,66.2,80.4,89.2,10.8
2015 November,17,French Language,18.5,36.5,56.9,72.5,86.7,13.3
2015 November,18,General Paper,10.4,29.2,49.0,70.3,87.2,12.8
2015 November,19,Geography,14.1,24.5,43.5,60.7,76.1,23.9
2015 November,20,German Language,17.3,32.7,60.2,77.0,93.8,6.2
2015 November,21,Global Perspectives / Global Perspectives & Research,7.1,38.4,62.1,82.3,92.9,7.1
2015 November,22,Hindi Language,33.5,57.4,73.9,85.2,95.8,4.2
2015 November,23,Hinduism,23.8,45.4,71.5,82.3,91.5,8.5
2015 November,24,History,14.3,29.4,45.2,59.3,74.6,25.4
2015 November,25,Islamic Studies,34.8,63.8,82.3,86.5,90.8,9.2
2015 November,26,Japanese,48.7,70.9,83.5,93.0,95.7,4.3
2015 November,27,Language and Literature in English,4.0,14.4,30.3,46.7,65.8,34.2
2015 November,28,Law,11.6,21.8,38.2,53.0,64.8,35.2
2015 November,29,Literature in English,17.5,29.5,48.3,66.7,82.2,17.8
2015 November,30,Mathematics,27.7,42.0,57.3,70.8,82.3,17.7
2015 November,31,Physical Education,8.9,23.8,41.1,63.6,82.4,17.6
2015 November,32,Physical Science,9.1,31.3,49.5,63.0,75.0,25.0
2015 November,33,Physics,25.4,45.2,60.5,73.5,84.1,15.9
2015 November,34,Psychology,14.1,27.0,45.7,64.2,76.8,23.2
2015 November,35,Sociology,10.7,18.5,33.3,48.0,65.1,34.9
2015 November,36,Spanish Language,34.5,52.1,71.4,80.7,90.8,9.2
2015 November,37,Thinking Skills,7.7,18.4,34.7,54.0,73.3,26.7
2015 November,38,Travel and Tourism,1.0,4.0,23.0,51.3,77.8,22.2
2015 November,39,Urdu Language,57.6,84.0,90.4,94.4,96.8,3.2
2015 June,0,Accounting,22.4,36.5,51.7,65.9,78.1,21.9
2015 June,1,Applied ICT,15.3,29.9,45.0,58.8,72.6,27.4
2015 June,2,Art and Design,7.4,15.6,26.2,39.2,56.3,43.7
2015 June,3,Biology,26.4,39.2,56.0,70.4,82.3,17.7
2015 June,4,Business Studies,14.2,26.9,44.3,57.3,69.1,30.9
2015 June,5,Chemistry,29.9,44.9,60.9,75.0,87.0,13.0
2015 June,6,Computer Science / Computing,19.3,32.4,46.8,61.0,73.9,26.1
2015 June,7,Economics,30.0,41.7,56.0,69.7,82.3,17.7
2015 June,8,English Language,5.5,15.7,32.2,54.8,73.9,26.1
2015 June,9,Environmental Management,7.2,28.9,47.4,66.1,79.6,20.4
2015 June,10,French Language,28.3,45.7,62.1,79.1,86.7,13.3
2015 June,11,General Paper,18.8,45.4,64.7,80.0,88.2,11.8
2015 June,12,Geography,15.2,25.3,37.8,52.3,64.2,35.8
2015 June,13,Global Perspectives / Global Perspectives & Research,6.5,24.6,53.4,81.1,93.3,6.7
2015 June,14,History,6.2,16.1,27.2,42.5,58.1,41.9
2015 June,15,Language and Literature in English,5.9,15.8,30.0,43.1,58.1,41.9
2015 June,16,Law,9.8,21.3,34.3,47.4,61.6,38.4
2015 June,17,Literature in English,11.6,24.5,40.5,59.8,75.0,25.0
2015 June,18,Marine Science,4.0,11.9,25.3,42.6,61.3,38.7
2015 June,19,Mathematics,26.2,44.0,60.1,72.6,82.2,17.8
2015 June,20,Media Studies,6.0,20.2,50.0,78.9,92.0,8.0
2015 June,21,Music,4.7,17.0,34.9,54.7,78.3,21.7
2015 June,22,Physics,32.0,44.9,60.3,74.3,85.2,14.8
2015 June,23,Psychology,12.2,24.8,37.8,52.6,66.6,33.4
2015 June,24,Sociology,8.8,20.4,34.4,50.7,68.4,31.6
2015 June,25,Spanish Language,49.2,67.4,81.2,90.5,94.4,5.6
2015 June,26,Spanish Literature,30.0,55.0,81.5,92.1,95.9,4.1
2015 June,27,Thinking Skills,9.0,19.3,36.7,58.9,77.6,22.4
2015 June,28,Travel and Tourism,0.9,6.0,18.0,42.5,69.3,30.7
2016 June,0,Accounting,22.7,35.9,51.2,65.1,78.7,21.3
2016 June,1,Applied ICT,15.4,32.0,45.9,58.9,71.6,28.4
2016 June,2,Art and Design,8.1,16.8,28.3,43.0,61.6,38.4
2016 June,3,Biology,24.6,37.7,54.4,68.7,80.1,19.9
2016 June,4,Business,14.3,27.1,43.5,57.3,69.4,30.6
2016 June,5,Chemistry,29.6,44.9,60.8,75.4,86.9,13.1
2016 June,6,Computer Science / Computing,18.3,32.4,45.4,59.6,74.2,25.8
2016 June,7,Economics,29.0,40.2,55.4,68.9,81.2,18.8
2016 June,8,English Language,5.5,17.1,35.5,56.2,75.1,24.9
2016 June,9,Environmental Management,5.1,26.6,46.6,65.1,79.6,20.4
2016 June,10,French Language,27.6,42.3,61.3,77.3,89.0,11.0
2016 June,11,General Paper,17.5,39.9,61.8,78.8,90.1,9.9
2016 June,12,Geography,14.5,23.4,37.4,51.0,65.1,34.9
2016 June,13,Global Perspectives & Research,7.9,21.4,46.4,72.8,90.5,9.5
2016 June,14,History,5.0,14.5,25.8,39.1,53.7,46.3
2016 June,15,Language and Literature in English,9.3,19.1,31.5,48.0,64.9,35.1
2016 June,16,Law,11.3,22.7,38.3,52.3,66.3,33.7
2016 June,17,Literature in English,10.9,22.5,38.1,56.8,74.5,25.5
2016 June,18,Marine Science,3.8,11.6,25.4,43.0,62.2,37.8
2016 June,19,Mathematics,25.8,44.2,60.1,71.9,81.9,18.1
2016 June,20,Media Studies,2.4,11.0,29.6,51.4,73.5,26.5
2016 June,21,Music,22.1,51.3,70.8,88.5,95.6,4.4
2016 June,22,Physics,30.8,44.9,60.6,73.7,85.1,14.9
2016 June,23,Portuguese Language,35.0,74.0,91.1,99.2,100.0,0.0
2016 June,24,Psychology,10.6,22.8,36.3,50.2,63.4,36.6
2016 June,25,Sociology,8.7,18.7,33.0,49.1,65.9,34.1
2016 June,26,Spanish Language,46.6,65.2,80.2,90.2,96.4,3.6
2016 June,27,Spanish Literature,26.8,58.6,86.3,95.2,97.3,2.7
2016 June,28,Thinking Skills,7.7,18.5,35.3,53.8,73.5,26.5
2016 June,29,Travel and Tourism,0.8,4.9,15.4,39.0,64.4,35.6
2018 June,0,Accounting,20.7,35.9,50.6,65.3,78.4,21.6
2018 June,1,Art and Design,5.0,13.1,23.9,39.0,60.5,39.5
2018 June,2,Biology,24.0,38.8,55.6,69.8,81.3,18.7
2018 June,3,Business,11.1,22.7,38.4,54.5,68.1,31.9
2018 June,4,Chemistry,27.7,44.8,60.9,75.1,86.6,13.4
2018 June,5,Computer Science,19.3,33.4,46.9,60.9,75.1,24.9
2018 June,6,Economics,27.7,41.7,56.3,68.2,79.0,21.0
2018 June,7,English Language,5.4,15.1,32.0,55.3,73.8,26.2
2018 June,8,Environmental Management,3.6,18.0,36.7,59.1,77.4,22.6
2018 June,9,French Language,27.3,41.3,57.4,71.4,82.0,18.0
2018 June,10,General Paper,12.8,30.3,57.5,77.1,88.6,11.4
2018 June,11,Geography,18.3,31.0,45.1,60.5,75.1,24.9
2018 June,12,Global Perspectives & Research,9.1,23.3,54.6,78.8,93.6,6.4
2018 June,13,History,5.0,15.1,25.8,38.8,54.0,46.0
2018 June,14,Information Technology,17.9,31.8,44.8,56.7,67.6,32.4
2018 June,15,Language and Literature in English,11.5,20.8,31.5,50.0,65.4,34.6
2018 June,16,Law,10.3,21.0,36.4,50.3,63.6,36.4
2018 June,17,Literature in English,9.1,20.0,36.1,54.4,72.7,27.3
2018 June,18,Marine Science,4.2,12.4,28.9,48.7,65.0,35.0
2018 June,19,Mathematics,24.3,43.1,59.1,72.0,82.1,17.9
2018 June,20,Media Studies,4.0,13.7,33.7,60.9,81.7,18.3
2018 June,21,Music,31.3,58.8,74.0,85.0,94.3,5.7
